"Variable" "Variable_type" "N" "Converged" "Beta" "SE" "Variable_pvalue" "LRT_pvalue" "Diff_AIC" "pval" "outcome" "weight" "pvalue_Bonf" "pvalue_FDR"
"DR1TS180" "continuous" 3703 TRUE "-0.00250549431068739" "0.00269022214317282" "0.3655218674536" "None" "None" 0.3655218674536 "logLBXB12" "WTDR4YR (46 observations are missing weights)" 1 0.654873368983651
"LBXBHC" "continuous" 480 TRUE "-0.195759821375707" "0.211294721243289" "0.367962732122784" "None" "None" 0.367962732122784 "logLBXB12" "WTSPO4YR" 1 0.654873368983651
"LBXD04" "continuous" 215 TRUE "0.0031721507389454" "0.00275423813129901" "0.368520751660687" "None" "None" 0.368520751660687 "logLBXB12" "WTSPO4YR" 1 0.654873368983651
"URXUBA" "continuous" 928 TRUE "-0.00149966754710354" "0.00162626764616175" "0.370145817251629" "None" "None" 0.370145817251629 "logLBXB12" "WTSHM4YR" 1 0.654873368983651
"DR1TCRYP" "continuous" 2017 TRUE "4.19808286803322e-05" "4.07590872440089e-05" "0.378792591448479" "None" "None" 0.378792591448479 "logLBXB12" "WTDR4YR" 1 0.65878664220553
"URXUCD" "continuous" 940 TRUE "-0.0973088246047888" "0.107740127956086" "0.37982700729057" "None" "None" 0.37982700729057 "logLBXB12" "WTSHM4YR" 1 0.65878664220553
"LBX177" "continuous" 479 TRUE "2.38432068577269" "2.66531717287271" "0.384275315948131" "None" "None" 0.384275315948131 "logLBXB12" "WTSPO4YR" 1 0.65878664220553
"LBXF04" "continuous" 217 TRUE "-0.00316332510396537" "0.00287115343237811" "0.385428001967286" "None" "None" 0.385428001967286 "logLBXB12" "WTSPO4YR" 1 0.65878664220553
"DR1TFIBE" "continuous" 3703 TRUE "-0.000983452871342502" "0.00110886697529421" "0.388270388159781" "None" "None" 0.388270388159781 "logLBXB12" "WTDR4YR (46 observations are missing weights)" 1 0.65878664220553
"URXUMO" "continuous" 940 TRUE "0.000165095619007621" "0.000189211859603168" "0.395817737401961" "None" "None" 0.395817737401961 "logLBXB12" "WTSHM4YR" 1 0.666132289774032
