pancreatic_cancer_self_report	disease
prostate_cancer_self_report	disease
rectum_cancer_self_report	disease
skin_cancer_self_report	disease
other_skin_cancer_self_report	disease
soft_cancer_self_report	disease
stomach_cancer_self_report	disease
testis_cancer_self_report	disease
thyroid_cancer_self_report	disease
uterine_cancer_self_report	disease
other_cancer_self_report	disease
any_cancer_self_report	disease
any_family_cad	disease
current_past_smoking	smoking behavior
occupation	occupation
DXXLSBMD	body measures
DXXPEBMD	body measures
DXXHEBMD	body measures
DXDTRLE	body measures
DXXTRFAT	body measures
DXDTOLE	body measures
DXDTOFAT	body measures
DXDTOBMD	body measures
current_asthma	disease
ever_asthma	disease
ever_arthritis	disease
ever_rheumatoid_arthritis	disease
ever_osteo_arthritis	disease
TELOMEAN	aging
taking_birth_control	reproductive health
age_stopped_birth_control	reproductive health
